particao		algoritmo		rmse
1		aleatorio		1.9107328437015991
2		aleatorio		1.8865179564478043
3		aleatorio		1.87849673941692
4		aleatorio		1.8715234436148536
5		aleatorio		1.8801462709055379462
1		colaborativo		1.229430762588931658
2		colaborativo		1.2183390332744002877
3		colaborativo		1.1989578808281798943
4		colaborativo		1.1931680518686376943
5		colaborativo		1.1975808949711915
